1. Age	2. Gender	3. LGA/LCDA	4. How often do you bathe or shower per day?	5. Do you use any of the following regularly? (Tick all that apply)	6. How often do you consume the following foods? (Tick those eaten regularly)	7. Do you sweat excessively even when not active?	"8. Are you aware of any medical condition that may cause body odor (e.g., diabetes, thyroid disorder)?"	9. Do you have close relatives with persistent body odor?	10. Have you ever been told you have body odor?	"11. If yes, how did it affect you emotionally?"	12. Has body odor ever affected your social life or self-confidence?	13. Do you think body odor can cause social discrimination or stigmatization?	14. Have you tried any of the following to reduce body odor? (Tick all that apply)	15. Rate the effectiveness of your chosen remedies.	16. Do you believe some people naturally have stronger body odor due to their body chemistry or genetics?	17. Do you think body odor should be treated as a medical issue in some cases
25-34 years	Male	Alimosho 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Red meat"	No	Not sure	No	No	Not affected	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Surulere 	Twice	Deodorant/Antiperspirant	Spicy foods	No	No	No	No	Somewhat uncomfortable	No	Agree	Use of perfumes or deodorants	Very effective	Yes	Yes
18-24 years	Male	Ifako Ijaiye	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Processed foods"	No	No	No	No	Not affected	No	Agree	Use of perfumes or deodorants	Very effective	Not sure	Yes
25-34 years	Female	Shomolu 	Twice	Deodorant/Antiperspirant	"Onions/Garlic, Red meat, Processed foods"	No	No	No	No	Not affected	No	Agree	Use of perfumes or deodorants	Very effective	Yes	Yes
18-24 years	Female	Eti-Osa	Twice	Deodorant/Antiperspirant	"Spicy foods, Onions/Garlic"	No	No	Yes	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Kosofe 	Twice	"Deodorant/Antiperspirant, Herbal remedies"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	No	Yes	Severely embarrassed	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Alimosho	Twice	Deodorant/Antiperspirant	Spicy foods	No	Yes	No	No	Not affected	No	Agree	Frequent Bathing	Very effective	Yes	Yes
18-24 years	Female	Oshodi Isolo	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	Spicy foods	No	Not sure	Yes	No	Somewhat uncomfortable	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Female	Ikorodu	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat"	No	No	Yes	No	Not affected	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Oshodi Isolo 	More than twice	Deodorant/Antiperspirant	"Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Not affected	No	Neutral	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Not sure	Yes
25-34 years	Female	Ikorodu	Twice	None	"Diary (milk, yogurt, cheese etc)"	No	Yes	Yes	No	Not affected	Yes	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
35-44 years	Female	Badagry	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Alimosho	Twice	"Antibacterial soap, Deodorant/Antiperspirant, Talcum powder"	"Spicy foods, Diary (milk, yogurt, cheese etc)"	No	Yes	Yes	No	Somewhat uncomfortable	Yes	Strongly agree	"Frequent Bathing, Medical consultation, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Badagry 	More than twice	"Antibacterial soap, Deodorant/Antiperspirant"	Onions/Garlic	No	Not sure	No	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Very effective	Yes	Yes
25-34 years	Female	Ifako Ijaiye	Twice	Deodorant/Antiperspirant	Spicy foods	No	No	No	No	Not affected	No	Agree	Use of perfumes or deodorants	Very effective	Yes	Yes
25-34 years	Female	Ifako Ijaiye	Twice	Deodorant/Antiperspirant	Spicy foods	No	Yes	No	Yes	Severely embarrassed	Yes	Agree	Use of perfumes or deodorants	Somewhat effective	Yes	Yes
18-24 years	Male	Shomolu	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Diary (milk, yogurt, cheese etc)"	No	No	No	No	Indifferent	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	No	Yes
25-34 years	Female	Alimosho	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Severely embarrassed	Yes	Strongly agree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Mushin 	Twice	"Antibacterial soap, Deodorant/Antiperspirant, Talcum powder"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	Yes	Yes	Yes	Yes	Somewhat uncomfortable	Yes	Agree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Female	Kosofe	Twice	Deodorant/Antiperspirant	"Spicy foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Medical consultation, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Female	Ibeju Lekki	Twice	Antibacterial soap	Onions/Garlic	Yes	No	Yes	Yes	Not affected	Not sure	Neutral	Frequent Bathing	Somewhat effective	Yes	Yes
